abbor,/ɑ b ɔ ɾ/
ferdig,/ˈ f æ ː ɖ ɪ/
ferdige,/ˈ f æ ː ɖ ɪə/
ferdigere,/ˈ f æ ː ɖ ɪ ɾ ə/
ferdigkokt,/f æ ː ɖ ɪ k ʊ k t/
ferdigst,/ˈ f æ ː ɖ ɪ k s t/
ferdigste,/ˈ f æ ː ɖ ɪ k s t ə/
ferge,/ˈ f æ ɾ j ə/
ferie,/ˈ f e ː ɾ ɪ j ə/
feriehus,/ˈ f e ː ɾ ɪə h ʉ ː s/
feriere,/f ɛ ɾ ɪ ˈ e ː ɾ ə/
ferje,/f æ ɾ j ə/
fersk,/f æ ʂ k/
fersken,/ˈ f æ ʂ k ə n/
feste,/ˈ f ɛ s t ə/
festival,/f ɛ s t ɪ ˈ ʋ ɑː l/
festlig,/ˈ f ɛ s t l ɪ/
festlige,/ˈ f ɛ s t l ɪə/
festligere,/ˈ f ɛ s t l ɪ ɾ ə/
festligst,/ˈ f ɛ s t l ɪ k s t/
festligste,/ˈ f ɛ s t l ɪ k s t ə/
festne,/ˈ f ɛ s t n e/
festning,/f ɛ s t n ɪ ŋ/
fet,/f e ː t/
fett,/f ɛ t/
fetter,/ˈ f ɛ t ə ɾ/
fettere,/ˈ f ɛ t ə ɾ ə/
fetteren,/ˈ f ɛ t æ ɳ/
fettern,/f ɛ t æ ɳ/
fiendtlig,/ˈ f iː ə n t l ɪ/
fiendtlige,/ˈ f iː ə n t l ɪə/
fiendtligere,/ˈ f iː ə n t l ɪ ɾ ə/
fiendtligst,/ˈ f iː ə n t l ɪ k s t/
fiendtligste,/ˈ f iː ə n t l ɪ k s t ə/
fiffig,/ˈ f ɪ f ɪ/
fiffige,/ˈ f ɪ f ɪə/
fiffigere,/ˈ f ɪ f ɪ ɾ ə/
fiffigst,/ˈ f ɪ f ɪ k s t/
fiffigste,/ˈ f ɪ f ɪ k s t ə/
figurere,/f ɪ g ʉ ˈ ɾ e ː ɾ ə/
fike,/ˈ f iː k ə/
fiken,/ˈ f iː k ə n/
fiks,/f ɪ k s/
fiktiv,/f ɪ k ˈ t iː ʋ/
file,/ˈ f iː l ə/
fille,/ˈ f ɪ l ə/
fillete,/ˈ f ɪ l ə t ə/
film,/f ɪ l m/
filme,/ˈ f ɪ l m ə/
filmfølsomhet,/ˈ f ɪ l m f œ l s ɔ m h e ː t/
filmskuespiller,/ˈ f ɪ l m s k ʉ ː ə s p ɪ l ə ɾ/
filmtekniker,/ˈ f ɪ l m t ɛ k n ɪ k ə ɾ/
filmteknikker,/ˈ f ɪ l m t ɛ k n ɪ k ə ɾ/
filologisk,/f ɪ l ʊ ˈ l o ː g ɪ s k/
filosofisk,/f ɪ l ʊ ˈ s uː f ɪ s k/
filteraktig,/ˈ f ɪ l t ə ɾ ɑ k t ɪ/
filtrat,/f ɪ l ˈ t ɾ ɑː t/
filtrere,/f ɪ l ˈ t ɾ e ː ɾ ə/
fin,/f iː n/
finansiere,/f ɪ n ɑ n s ɪ ˈ e ː ɾ ə/
finger,/ˈ f ɪ ŋ ə ɾ/
fingerring,/ˈ f ɪ ŋ ə ɾ ɪ ŋ/
fingert,/f ɪ ŋ ˈ g e ː ʈ/
fingre,/ˈ f ɪ ŋ ɾ ə/
finne,/ˈ f ɪ n ə/
finne sted,"/f ɪ n ə ˈ s t e ː/, /f ɪ n ə ˈ s t e ː d/"
finner,/ˈ f ɪ n ə ɾ/
finnes,/ˈ f ɪ n ə s/
finsk,/f ɪ n s k/
fiolett,/f ɪ ɔ ˈ l ɛ t/
fiolinist,/f ɪ ʊ l ɪ ˈ n ɪ s t/
fire,/ˈ f iː ɾ ə/
firkanta,/ˈ f ɪ ɾ k ɑ n t ɑ/
firkantet,/ˈ f ɪ ɾ k ɑ n t ɑ/
firma,/ˈ f ɪ ɾ m ɑ/
fisk,/f ɪ s k/
fiske,/ˈ f ɪ s k ə/
fiskebein,/f ɪ s k ə b æɪ n/
fiskehandel,/f ɪ s k ə h ɑ n ə l/
fiskehavn,/f ɪ s k ə h ɑ ʋ n̩/
fiskekort,/f ɪ s k ə k ʊ ʈ/
fiskestang,/f ɪ s k ə s t ɑ ŋ/
fiskesuppe,/ˈ f ɪ s k ə s ʉ p ə/
fiskevær,/f ɪ s k ə ʋ æ ː ɾ/
fit,/f ɪ t/
fitnessenter,/ˈ f ɪ t n ɛ s ɛ n t ə ɾ/
fjell,/f j æ l/
fjellbygd,/f j æ l b ʏ g d/
fjellklatring,/f j ɛ l k l ɑ t ɾ ɪ ŋ/
fjelltopp,/f j æ l t ɔ p/
fjellvegg,/f j æ l ʋ æ g/
fjern,/f ç æ ː ɳ/
fjerne,/ˈ f j æ ɳ ə/
fjernlys,/f j æ ː ɳ l y ː s/
fjernsyn,/ˈ f j æ ː ɳ s y ː n/
fjernsynsrom,/f j æ ː ɳ s y ː n s ɾ ʊ m/
fjollete,/ˈ f j ɔ l ə t ə/
fjord,/f j uː ɾ/
fjorten,/f j ʊ ʈ ə n/
fjære,/ˈ f j æ ː ɾ ə/
flagg,/f l ɑ g/
flagge,/ˈ f l ɑ g ə/
flagre,/ˈ f l ɑ g ɾ ə/
flakke,/ˈ f l ɑ k ə/
flakse,/ˈ f l ɑ k s ə/
flamme,/ˈ f l ɑ m ə/
flamsk,/f l ɑ m s k/
flaske,/ˈ f l ɑ s k ə/
flaskeåpner,/f l ɑ s k ə o ː p n ə ɾ/
flass,/f l ɑ s/
flasse,/ˈ f l ɑ s ə/
flat,/f l ɑː t/
flate,/ˈ f l ɑː t ə/
flatt,/f l ɑ t/
flatterende,/f l ɑ ˈ t e ː ɾ ə n ə/
flau,/f l æʉ/
fleipe,/ˈ f l æɪ p ə/
flekk,/f l ɛ k/
fleksibel,/f l ə k ˈ s iː b ə l/
flenge,/ˈ f l ɛ ŋ ə/
flerre,/ˈ f l æ ɾ ə/
flette,/ˈ f l ɛ t ə/
flidd,/f l ɪ d/
flikke,/ˈ f l ɪ k ə/
flimre,/ˈ f l ɪ m ɾ ə/
flink,/f l ɪ ŋ k/
flintskalla,/ˈ f l ɪ n t s k ɑ l ə t/
flintskallet,/ˈ f l ɪ n t s k ɑ l ə t/
flire,/ˈ f l iː ɾ ə/
flittig,/ˈ f l ɪ t ɪ/
flittige,/ˈ f l ɪ t ɪə/
flittigere,/ˈ f l ɪ t ɪ ɾ ə/
flittigst,/ˈ f l ɪ t ɪ k s t/
flittigste,/ˈ f l ɪ t ɪ k s t ə/
flo,/f l uː/
floke,/ˈ f l uː k ə/
flokete,/ˈ f l uː k ə t ə/
flokke,/ˈ f l ɔ k ə/
flomme,/ˈ f l ɔ m ə/
florere,/f l ʊ ˈ ɾ e ː ɾ ə/
flott,/f l ɔ t/
flue,/f l ʉ ː ə/
fly,/f l y ː/
flyge,/f l y ː g ə/
flyger,/ˈ f l y ː g ə ɾ/
flykte,/ˈ f l ʏ k t ə/
flyktig,/ˈ f l ʏ k t ɪ/
flyktige,/ˈ f l ʏ k t ɪə/
flyktigere,/ˈ f l ʏ k t ɪ ɾ ə/
flyktigst,/ˈ f l ʏ k t ɪ k s t/
flyktigste,/ˈ f l ʏ k t ɪ k s t ə/
flyktning,/ˈ f l ʏ k t n ɪ ŋ/
flyplass,/ˈ f l y ː p l ɑ s/
flyplassavgift,/ˈ f l y ː p l ɑ s ɑ ʋ j ɪ f t/
flyplassbuss,/ˈ f l y ː p l ɑ s b ʉ s/
flyreise,/ˈ f l y ː ɾ æɪ s ə/
flyselskap,/ˈ f l y ː s ɛ l s k ɑː p/
flyte,/ˈ f l y ː t ə/
flytende,/f l y ː t ə n ə/
flytte,/ˈ f l ʏ t ə/
flyvert,/ˈ f l y ː ʋ æ ʈ/
flyvertinne,/ˈ f l y ː ʋ æ ʈ ɪ n ə/
flørte,/ˈ f l ø ː ʈ ə/
fløte,/ˈ f l ø ː t ə/
fløy,/f l œ j/
fløyel,/ˈ f l œ j ə l/
fløyte,/ˈ f l œ j t ə/
flå,/f l o ː/
flådd,/f l ɔ d/
flådde,/ˈ f l ɔ d ə/
flått,/f l ɔ t/
fnise,/ˈ f n iː s ə/
fnyse,/ˈ f n y ː s ə/
fokusere,/f ʊ k ʉ ˈ s e ː ɾ ə/
folde,/ˈ f ɔ l ə/
fole,/ˈ f uː l ə/
folk,/f ɔ l k/
folkekjær,/ˈ f ɔ l k ə ç æ ː ɾ/
folkelig,/ˈ f ɔ l k ə l ɪ/
folkelige,/ˈ f ɔ l k ə l ɪə/
folkeligere,/ˈ f ɔ l k ə l ɪ ɾ ə/
folkeligst,/ˈ f ɔ l k ə l ɪ k s t/
folkeligste,/ˈ f ɔ l k ə l ɪ k s t ə/
folkemusikk,/f ɔ l k ə m ʉ ˈ s ɪ k/
folklore,/f ɔ l k l o ː ɾ/
folkloreaften,/f ɔ l k ˈ l o ː ɾ ɑ f t ə n/
folksom,/ˈ f ɔ l k s ɔ m/
fomle,/ˈ f ʊ m l ə/
fòr,/f o ː ɾ/
for,/f ɔ ɾ/
fór,/f uː ɾ/
fôr,/f uː ɾ/
for det andre,/f ɔ ɖ ɛ ɑ n d ɾ ə/
for min del,/f ɔ ɾ m iː n d e ː l/
for mye,/f ɔ ɾ ˈ m y ː ə/
for ti minutter siden,/f ɔ ˈ   ʈ iː   m ɪ ˈ n ʉ t ə   ʂ iː d ə n/
forakte,/f ɔ ˈ ɾ ɑ k t ə/
foraktelig,/f ɔ ˈ ɾ ɑ k t ə l ɪ/
foraktelige,/f ɔ ˈ ɾ ɑ k t ə l ɪə/
forakteligere,/f ɔ ˈ ɾ ɑ k t ə l ɪ ɾ ə/
forakteligst,/f ɔ ˈ ɾ ɑ k t ə l ɪ k s t/
forakteligste,/f ɔ ˈ ɾ ɑ k t ə l ɪ k s t ə/
foran,/ˈ f ɔ ɾ ɑ n/
forandre,/f ɔ ˈ ɾ ɑ n d ɾ ə/
forandring,/f ɔ ˈ ɾ ɑ n d ɾ ɪ ŋ/
forarge,/f ɔ ˈ ɾ ɑ ɾ g ə/
forbanna,/f ɔ ɾ ˈ b ɑ n ə t/
forbanne,"/f ɔ ˈ b ɑ n ə/, /f ɔ ɾ ˈ b ɑ n ə/"
forbannet,/f ɔ ɾ ˈ b ɑ n ə t/
forbarme,/f ɔ ɾ ˈ b ɑ ɾ m ə/
forbause,/f ɔ ɾ ˈ b æʉ s ə/
forbauselse,/f ɔ ɾ ˈ b æʉ s ə l s ə/
forbedre,"/f ɔ ˈ b e ː d ɾ ə/, /f ɔ ɾ ˈ b e ː d ɾ ə/"
forbeholde,/ˈ f ɔ ɾ b ə h ɔ l ə/
forberede,/ˈ f ɔ ɾ b ə ɾ e ː d ə/
forbi,/f ɔ ɾ ˈ b iː/
forbigå,/f ɔ ɾ ˈ b iː g o ː/
forbigående,/f ɔ ɾ ˈ b iː g o ː ə n ə/
forbilledlig,/f ɔ ɾ ˈ b ɪ l ə d l ɪ/
forbilledlige,/f ɔ ɾ ˈ b ɪ l ə d l ɪə/
forbilledligere,/f ɔ ɾ ˈ b ɪ l ə d l ɪ ɾ ə/
forbilledligst,/f ɔ ɾ ˈ b ɪ l ə d l ɪ k s t/
forbilledligste,/f ɔ ɾ ˈ b ɪ l ə d l ɪ k s t ə/
forbinde,/f ɔ ɾ ˈ b ɪ n ə/
forbindelse,/f ɔ ɾ ˈ b ɪ n ə l s ə/
forbli,/f ɔ ɾ ˈ b l iː/
forblø,/f ɔ ɾ ˈ b l ø ː/
forbløffe,/f ɔ ɾ ˈ b l œ f ə/
forbløffende,/f ɔ ɾ ˈ b l œ f ə n ə/
forbrenne,/f ɔ ɾ ˈ b ɾ ɛ n ə/
forbrenning,/f ɔ ɾ ˈ b ɾ ɛ n ɪ ŋ/
forbruk,/ˈ f ɔ ɾ b ɾ ʉ ː k/
forbruke,/f ɔ ɾ ˈ b ɾ ʉ ː k ə/
forbrytelse,/f ɔ ɾ ˈ b ɾ y ː t ə l s ə/
forbud,/ˈ f ɔ ɾ b ʉ ː d/
forbudt,/f ɔ ɾ ˈ b ʉ t/
forbund for funksjonshemmede,/f ɔ ɾ b ʉ n f ɔ ɾ f ʉ ŋ k ˈ ʂ uː n s h ɛ m ə d ə/
forby,/f ɔ ɾ ˈ b y ː/
fordampe,/f ɔ ˈ ɖ ɑ m p ə/
fordel,/f ɔ ɖ e ː l/
fordelaktig,/ˈ f ɔ ɖ e ː l ɑ k t ɪ/
fordelaktige,/ˈ f ɔ ɖ e ː l ɑ k t ɪə/
fordelaktigere,/ˈ f ɔ ɖ e ː l ɑ k t ɪ ɾ ə/
fordelaktigst,/ˈ f ɔ ɖ e ː l ɑ k t ɪ k s t/
fordelaktigste,/ˈ f ɔ ɖ e ː l ɑ k t ɪ k s t ə/
fordele,/f ɔ ˈ ɖ e ː l ə/
forderve,/f ɔ ˈ ɖ æ ɾ ʋ ə/
fordi,/f ɔ ˈ ɖ iː/
fordoble,/f ɔ ˈ ɖ ɔ b l ə/
fordomsfri,/ˈ f ɔ ɖ ɔ m s f ɾ iː/
fordomsfull,/ˈ f ɔ ɖ ɔ m s f ʉ l/
fordra,/f ɔ ˈ ɖ ɾ ɑː/
fordre,/ˈ f ɔ ɖ ɾ ə/
fordreie,/f ɔ ˈ ɖ ɾ æɪ ə/
fordringsfull,/ˈ f ɔ ɖ ɾ ɪ ŋ s f ʉ l/
fordringsløs,/ˈ f ɔ ɖ ɾ ɪ ŋ s l ø ː s/
fordrive,/f ɔ ˈ ɖ ɾ iː ʋ ə/
fordufte,/f ɔ ˈ ɖ ʉ f t ə/
fordums,/ˈ f ɔ ɖ ʉ m s/
fordype,/f ɔ ˈ ɖ y ː p ə/
fordømme,/f ɔ ˈ ɖ œ m ə/
fordøye,/f ɔ ˈ ɖ œ j ə/
fordøyelse,/f ɔ ˈ ɖ œ j ɛ l s ə/
fôre,/ˈ f uː ɾ ə/
fore,/ˈ f ø ː ɾ ə/
forebygge,/ˈ f o ː ɾ ə b ʏ g ə/
foredle,/f ɔ ɾ ˈ e ː d l ə/
foregi,/ˈ f o ː ɾ ə j iː/
foregripe,/ˈ f o ː ɾ ə g ɾ iː p ə/
foregå,/ˈ f o ː ɾ ə g o ː/
foregående,/ˈ f o ː ɾ ə g o ː ə n ə/
forekomme,/ˈ f o ː ɾ ə k ɔ m ə/
forelda,/f ɔ ɾ ˈ ɛ l d ə t/
forelder,/f ɔ ɾ ˈ ɛ l d ə ɾ/
foreldet,/f ɔ ɾ ˈ ɛ l d ə t/
foreldre,/f ɔ ɾ ˈ ɛ l d ɾ ə/
forelese,/ˈ f o ː ɾ ə l e ː s ə/
foreligge,/ˈ f o ː ɾ ə l ɪ g ə/
forelske,/f ɔ ˈ ɾ ɛ l s k ə/
foreløpig,/ˈ f o ː ɾ ə l ø ː p ɪ/
foreløpige,/ˈ f o ː ɾ ə l ø ː p ɪə/
foreløpigere,/ˈ f o ː ɾ ə l ø ː p ɪ ɾ ə/
foreløpigst,/ˈ f o ː ɾ ə l ø ː p ɪ k s t/
foreløpigste,/ˈ f o ː ɾ ə l ø ː p ɪ k s t ə/
forene,/f ɔ ˈ ɾ e ː n ə/
forenkle,/f ɔ ˈ ɾ ɛ ŋ k l ə/
forenlig,/f ɔ ˈ ɾ e ː n l ɪ/
forenlige,/f ɔ ˈ ɾ e ː n l ɪə/
forenligere,/f ɔ ˈ ɾ e ː n l ɪ ɾ ə/
forenligst,/f ɔ ˈ ɾ e ː n l ɪ k s t/
forenligste,/f ɔ ˈ ɾ e ː n l ɪ k s t ə/
foresatt,/ˈ f o ː ɾ ə s ɑ t/
foreskrive,/ˈ f o ː ɾ ə s k ɾ iː ʋ ə/
foreslå,/ˈ f o ː ɾ ə s l o ː/
forespeile,/ˈ f o ː ɾ ə s p æɪ l ə/
forestille,/ˈ f o ː ɾ ə s t ɪ l ə/
forestilling,/f o ː ɾ ə s t ɪ l ɪ ŋ/
forestå,/ˈ f o ː ɾ ə s t o ː/
foresveve,/ˈ f o ː ɾ ə s ʋ e ː ʋ ə/
foreta,/ˈ f o ː ɾ ə t ɑː/
foretaksom,/ˈ f o ː ɾ ə t ɑː k s ɔ m/
foretrekke,/ˈ f o ː ɾ ə t ɾ ɛ k ə/
forevige,/f ɔ ɾ ˈ e ː ʋ ɪ g ə/
forfall,/ˈ f ɔ ɾ f ɑ l/
forfalle,/f ɔ ɾ ˈ f ɑ l ə/
forfallen,/f ɔ ɾ ˈ f ɑ l ə n/
forfalske,/f ɔ ɾ ˈ f ɑ l s k ə/
forfatte,/f ɔ ɾ ˈ f ɑ t ə/
forfatter,/f ɔ ɾ ˈ f ɑ t ə ɾ/
forfekte,/f ɔ ɾ ˈ f ɛ k t ə/
forfengelig,/f ɔ ɾ ˈ f ɛ ŋ ə l ɪ/
forfengelige,/f ɔ ɾ ˈ f ɛ ŋ ə l ɪə/
forfengeligere,/f ɔ ɾ ˈ f ɛ ŋ ə l ɪ ɾ ə/
forfengeligst,/f ɔ ɾ ˈ f ɛ ŋ ə l ɪ k s t/
forfengeligste,/f ɔ ɾ ˈ f ɛ ŋ ə l ɪ k s t ə/
forferdelig,/f ɔ ɾ ˈ f æ ɖ ə l ɪ/
forferdelige,/f ɔ ɾ ˈ f æ ɖ ə l ɪə/
forferdeligere,/f ɔ ɾ ˈ f æ ɖ ə l ɪ ɾ ə/
forferdeligst,/f ɔ ɾ ˈ f æ ɖ ə l ɪ k s t/
forferdeligste,/f ɔ ɾ ˈ f æ ɖ ə l ɪ k s t ə/
forfjamsa,/f ɔ ɾ ˈ f j ɑ m s ə t/
forfjamset,/f ɔ ɾ ˈ f j ɑ m s ə t/
forflytte,/f ɔ ɾ ˈ f l ʏ t ə/
forfremme,/f ɔ ɾ ˈ f ɾ ɛ m ə/
forfriskning,/f ɔ ɾ ˈ f ɾ ɪ s k n ɪ ŋ/
forfrossen,/f ɔ ɾ ˈ f ɾ ɔ s ə n/
forfølge,/f ɔ ɾ ˈ f œ l ə/
forføre,/f ɔ ɾ ˈ f ø ː ɾ ə/
forgifte,/f ɔ ɾ ˈ j ɪ f t ə/
forgiftning,/f ɔ ɾ ˈ j ɪ f n ɪ ŋ/
forgjengelig,/f ɔ ɾ ˈ j ɛ ŋ ə l ɪ/
forgjengelige,/f ɔ ɾ ˈ j ɛ ŋ ə l ɪə/
forgjengeligere,/f ɔ ɾ ˈ j ɛ ŋ ə l ɪ ɾ ə/
forgjengeligst,/f ɔ ɾ ˈ j ɛ ŋ ə l ɪ k s t/
forgjengeligste,/f ɔ ɾ ˈ j ɛ ŋ ə l ɪ k s t ə/
forgjeves,/f ɔ ɾ ˈ j e ː ʋ ə s/
forgreine,/f ɔ ɾ ˈ g ɾ e ː n ə/
forgripe,/f ɔ ɾ ˈ g ɾ iː p ə/
forgude,/f ɔ ɾ ˈ g ʉ ː d ə/
forgylle,/f ɔ ɾ ˈ j ʏ l ə/
forhandle,/f ɔ ɾ ˈ h ɑ n l ə/
forhandler,/f ɔ ɾ ˈ h ɑ n l ə ɾ/
forhandling,/f ɔ ɾ ˈ h ɑ n l ɪ ŋ/
forhaste,/f ɔ ɾ ˈ h ɑ s t ə/
forhatt,/f ɔ ɾ ˈ h ɑ t/
forhekse,/f ɔ ɾ ˈ h ɛ k s ə/
forhenværende,/ˈ f ɔ ɾ h ə n ʋ æ ː ɾ ə n ə/
forherlige,/f ɔ ɾ ˈ h æ ː ɭ ɪ g ə/
forhindre,/f ɔ ɾ ˈ h ɪ n d ɾ ə/
forhold,/ˈ f ɔ ɾ h ɔ l/
forhøre,/f ɔ ɾ ˈ h ø ː ɾ ə/
forhøye,/f ɔ ɾ ˈ h œ j ə/
forhåpentligvis,/f ɔ ɾ ˈ h ɔ p ə n t l iː ʋ iː s/
forhåpningsfull,/f ɔ ɾ ˈ h o ː p n ɪ ŋ s f ʉ l/
forkaste,/f ɔ ɾ ˈ k ɑ s t ə/
forkastelig,/f ɔ ɾ ˈ k ɑ s t ə l ɪ/
forkastelige,/f ɔ ɾ ˈ k ɑ s t ə l ɪə/
forkasteligere,/f ɔ ɾ ˈ k ɑ s t ə l ɪ ɾ ə/
forkasteligst,/f ɔ ɾ ˈ k ɑ s t ə l ɪ k s t/
forkasteligste,/f ɔ ɾ ˈ k ɑ s t ə l ɪ k s t ə/
forkjølelse,/f ɔ ɾ ˈ ç ø ː l ɛ l s ə/
forklare,"/f ɔ ˈ k l ɑː ɾ ə/, /f ɔ ɾ ˈ k l ɑː ɾ ə/"
forklaring,/f ɔ ɾ ˈ k l ɑː ɾ ɪ ŋ/
forkle,/ˈ f ɔ ɾ k l ə/
forkludre,/f ɔ ɾ ˈ k l ʉ d ɾ ə/
forknytt,/f ɔ ɾ ˈ k n ʏ t/
forkommen,/f ɔ ɾ ˈ k ɔ m ə n/
forkorte,/f ɔ ɾ ˈ k ɔ ʈ ə/
forkortelse,/f ɔ ɾ ˈ k ɔ ʈ ə l s ə/
forkynne,/f ɔ ɾ ˈ ç ʏ n ə/
forlange,/f ɔ ˈ ɭ ɑ ŋ ə/
forlate,/f ɔ ˈ ɭ ɑː t ə/
forlatt,/f ɔ ˈ ɭ ɑ t/
forlede,/f ɔ ˈ ɭ e ː d ə/
forleden,/f ɔ ˈ ɭ e ː d ə n/
forlegen,/f ɔ ˈ ɭ e ː g ə n/
forlenge,/f ɔ ˈ ɭ ɛ ŋ ə/
forlise,/f ɔ ˈ ɭ iː s ə/
forlodds,/ˈ f ɔ ɭ ɔ d s/
forlokkende,/f ɔ ˈ ɭ ɔ k ə n ə/
forlove,/f ɔ ˈ ɭ o ː ʋ ə/
forlovede,/f ɔ l ɔ ʋ ə d ə/
forløpe,/f ɔ ˈ ɭ ø ː p ə/
form,/f ɔ ɾ m/
formal,/ˈ f ɔ ɾ m o ː l/
formane,/f ɔ ɾ ˈ m ɑː n ə/
forme,/ˈ f ɔ ɾ m ə/
formel,/ˈ f ɔ ɾ m ə l/
formell,/f ɔ ɾ ˈ m ɛ l/
formere,/f ɔ ɾ ˈ m e ː ɾ ə/
formiddag,/f ɔ ɾ m ɪ d ɑ g/
formidle,/f ɔ ɾ ˈ m ɪ d l ə/
forminske,/f ɔ ɾ ˈ m ɪ n s k ə/
formode,/f ɔ ɾ ˈ m uː d ə/
formodentlig,/f ɔ ɾ ˈ m uː d ə n t l ɪ/
formodentlige,/f ɔ ɾ ˈ m uː d ə n t l ɪə/
formodentligere,/f ɔ ɾ ˈ m uː d ə n t l ɪ ɾ ə/
formodentligst,/f ɔ ɾ ˈ m uː d ə n t l ɪ k s t/
formodentligste,/f ɔ ɾ ˈ m uː d ə n t l ɪ k s t ə/
formular,/f ɔ ɾ m ʉ ˈ l ɑː ɾ/
formulere,/f ɔ ɾ m ʉ ˈ l e ː ɾ ə/
fornavn,/ˈ f ɔ ɳ ɑ ʋ n̩/
fornedre,/f ɔ ˈ ɳ e ː d ɾ ə/
fornekte,/f ɔ ˈ ɳ ɛ k t ə/
fornem,/ˈ f ɔ ɳ ɛ m/
fornemme,/f ɔ ˈ ɳ ɛ m ə/
fornye,/f ɔ ˈ ɳ y ː ə/
fornærme,/f ɔ ˈ ɳ æ ɾ m ə/
fornærmelse,/f ɔ ˈ ɳ æ ɾ m ɛ l s ə/
fornøyd,/f ɔ ˈ ɳ œ j d/
fornøyelig,/f ɔ ˈ ɳ œ j ə l ɪ/
fornøyelige,/f ɔ ˈ ɳ œ j ə l ɪə/
fornøyeligere,/f ɔ ˈ ɳ œ j ə l ɪ ɾ ə/
fornøyeligst,/f ɔ ˈ ɳ œ j ə l ɪ k s t/
fornøyeligste,/f ɔ ˈ ɳ œ j ə l ɪ k s t ə/
fornøyelse,/f ɔ ˈ ɳ œ j ɛ l s ə/
fornøyelsespark,/f ɔ ˈ ɳ œ j ɛ l s ə s p ɑ ɾ k/
forordne,/f ɔ ɾ ˈ ɔ ɖ n ə/
forpeste,/f ɔ ɾ ˈ p ɛ s t ə/
forpleining,/f ɔ ɾ ˈ p l æɪ n ɪ ŋ/
forplikte,/f ɔ ɾ ˈ p l ɪ k t ə/
forpurre,/f ɔ ɾ ˈ p ʉ ɾ ə/
forregne seg,/f ɔ ˈ ɾ æɪ n ə s æ i/
forrest,/ˈ f ɔ ɾ ə s t/
forresten,/f ɔ ˈ ɾ ɛ s t ə n/
forrett,/ˈ f ɔ ɾ ə t/
forringe,/f ɔ ˈ ɾ ɪ ŋ ə/
forrykende,/f ɔ ˈ ɾ y ː k ə n ə/
forrykt,/f ɔ ˈ ɾ ʏ k t/
forrædersk,/f ɔ ˈ ɾ e ː d ə ʂ k/
forråd,/f ɔ ɾ o ː d/
forråde,/f ɔ ˈ ɾ o ː d ə/
forrådt,/f ɔ ˈ ɾ ɔ t/
forsagt,/f ɔ ˈ ʂ ɑ k t/
forsake,/f ɔ ˈ ʂ ɑː k ə/
forsalg,/f ɔ ʂ ɑ l g/
forseggjort,/ˈ f ɔ ʂ æɪ ʊ ʈ/
forsikre,/f ɔ ˈ ʂ ɪ k ɾ ə/
forsikring,/f ɔ ˈ ʂ ɪ k ɾ ɪ ŋ/
forsiktig,/f ɔ ˈ ʂ ɪ k t ɪ/
forsiktige,/f ɔ ˈ ʂ ɪ k t ɪə/
forsiktigere,/f ɔ ˈ ʂ ɪ k t ɪ ɾ ə/
forsiktighet,/f ɔ ˈ ʂ ɪ k t ɪ h e ː t/
forsiktigst,/f ɔ ˈ ʂ ɪ k t ɪ k s t/
forsiktigste,/f ɔ ˈ ʂ ɪ k t ɪ k s t ə/
forsinke,/f ɔ ˈ ʂ ɪ ŋ k ə/
forsinkelse,/f ɔ ˈ ʂ ɪ ŋ k ɛ l s ə/
forske,/ˈ f ɔ ʂ k ə/
forskjell,/ˈ f ɔ ʂ ə l/
forskjellig,/f ɔ ˈ ʂ ɛ l ɪ/
forskjellige,/f ɔ ˈ ʂ ɛ l ɪə/
forskjelligere,/f ɔ ˈ ʂ ɛ l ɪ ɾ ə/
forskjelligst,/f ɔ ˈ ʂ ɛ l ɪ k s t/
forskjelligste,/f ɔ ˈ ʂ ɛ l ɪ k s t ə/
forskning,/ˈ f ɔ ʂ k n ɪ ŋ/
forskrift,/f ɔ ʂ k ɾ ɪ f t/
forskrudd,/f ɔ ˈ ʂ k ɾ ʉ d/
forskuttere,/f ɔ ʂ k ʉ ˈ t e ː ɾ ə/
forskyve,/f ɔ ˈ ʂ y ː ʋ ə/
forslag,/ˈ f ɔ ʂ ɭ ɑː g/
forslitt,/f ɔ ˈ ʂ ɭ ɪ t/
forsnakke,/f ɔ ˈ ʂ n ɑ k ə/
forsone,/f ɔ ˈ ʂ uː n ə/
forsove,/f ɔ ˈ ʂ o ː ʋ ə/
forspille,/f ɔ ˈ ʂ p ɪ l ə/
forstad,/f ɔ ʂ t ɑː/
forstandig,/f ɔ ˈ ʂ t ɑ n ɪ/
forstandige,/f ɔ ˈ ʂ t ɑ n ɪə/
forstandigere,/f ɔ ˈ ʂ t ɑ n ɪ ɾ ə/
forstandigst,/f ɔ ˈ ʂ t ɑ n ɪ k s t/
forstandigste,/f ɔ ˈ ʂ t ɑ n ɪ k s t ə/
forsterke,/f ɔ ˈ ʂ t æ ɾ k ə/
forstoppelse,/f ɔ ˈ ʂ t ɔ p ɛ l s ə/
forstrekning,/f ɔ ˈ ʂ t ɾ ɛ k n ɪ ŋ/
forstuet,/f ɔ ˈ ʂ t ʉ ː ə t/
forstumme,/f ɔ ˈ ʂ t ʉ m ə/
forstyrre,/f ɔ ˈ ʂ t ʏ ɾ ə/
forstørre,/f ɔ ˈ ʂ t œ ɾ ə/
forstå,/f ɔ ˈ ʂ t o ː/
forståelig,/f ɔ ˈ ʂ t o ː ə l ɪ/
forståelige,/f ɔ ˈ ʂ t o ː ə l ɪə/
