abbor  aa b ao r
hovmodige  h ao v m uu d ih ax
hovmodigere  h ao v m uu d ih r ax
hovmodigst  h ao v m uu d ih k s t
hovmodigste  h ao v m uu d ih k s t ax
hovne  h ao v n ax
hubro  h uh b r u
hud  h uh d
hudflette  h uh d f l eh t ax
huie  h uh j ax
huke  h uh k ax
hukommelse  h uh k ao m ax l s ax
hul  h uh l
hule  h uh l ax
hulke  h uh l k ax
hull  h uh l
hullete  h uh l ax t ax
human  h uh m aa n
humanitær  h uh m aa n ih t ae r
humle  h uh m l ax
humoristisk  h uh m uh r ih s t ih s k
humpe  h uh m p ax
humpete  h uh m p ax t ax
humre  h uh m r ax
hun  h uh n
hund  h uh n
hundre  h uh n d r ax
hundreogen  h uh n d r ax ao ee n
hundreår  h uh n d r ax oo r
hundse  h uh n s ax
hungre  h uh ng r ax
hunn  h uh n
hurpe  h uh r p ax
hurtig  h uh t ih
hurtige  h uh t ih ax
hurtigere  h uh t ih r ax
hurtigst  h uh t ih k s t
hurtigste  h uh t ih k s t ax
hus  h uh s
husdyr  h uh s d ue r
huse  h uh s ax
huseier  h uh s ay ax r
huset  h uh s ax
husholdningsartikler  h uh s h ao l d n ih ng s aa t ih k l ax r
huske  h uh s k ax
husly  h uh s l ueh
husnummer  h uh s n uh m ax r
hutre  h uh t r ax
hva  v aa
hva for ei  v aa f ao r ae iy
hva for en  v aa f ao r ee n
hval  v aa l
hvass  k v aa s
hvelve  v eh l v ax
hver  v ae r
hver dag  v ae d aa g
hver t ime  v ae t iy m ax
hver uke  v ae r uh k ax
hverdagslig  v ae d aa k sz l ih
hverdagslige  v ae d aa k sz l ih ax
hverdagsligere  v ae d aa k sz l ih r ax
hverdagsligst  v ae d aa k sz l ih k s t
hverdagsligste  v ae d aa k sz l ih k s t ax
hvese  v ee s ax
hvete  v ee t ax
hvile  v iy l ax
hvile ut  v iy l ax uh t
hvis  v ih s
hviske  v ih s k ax
hvit  v iy t
hvitløk  v iy t l oeh k
hvitmaling  v iy t m aa l ih ng
hvitt  v ih t
hvitvin  v iy t v iy n
hvordan  v uh d aa n
hygge  h ue g ax
hyggelig  h ue g ax l ih
hyggelige  h ue g ax l ih ax
hyggeligere  h ue g ax l ih r ax
hyggeligst  h ue g ax l ih k s t
hyggeligste  h ue g ax l ih k s t ax
hygienisk  h ue g ih ee n ih s k
hyklersk  h ue k l ax sz k
hyl  h ueh l
hyle  h ueh l ax
hylle  h ue l ax
hylster  h ue l s t ax r
hylt  h ueh l t
hylte  h ueh l t ax
hyperaktiv  h ueh p ax r aa k t iy v
hypermoderne  h ueh p ax r m uh d ae ng ax
hypnotisere  h ue p n uh t ih s ee r ax
hypokonder  h ue p uh k ao n ax r
hypotetisk  h ue p uh t ee t ih s k
hyppig  h ue p ih
hyppige  h ue p ih ax
hyppigere  h ue p ih r ax
hyppigst  h ue p ih k s t
hyppigste  h ue p ih k s t ax
hyre  h ueh r ax
hysje  h ue sz ax
hysterisk  h ue s t ee r ih s k
hytta  h ue t aa
hytte  h ue t ax
hæl  h ee l
hær  h ae r
høflig  h oe f l ih
høflige  h oe f l ih ax
høfligere  h oe f l ih r ax
høfligst  h oe f l ih k s t
høfligste  h oe f l ih k s t ax
hølje  h oe l j ax
høre  h oeh r ax
høre på en  h oeh r ax p ao ee n
hørsel  h oe sz ax l
hørselskadet  h oe sz ax l s k aa d ax t
hørt  h oe t
hørte  h oe t ax
høst  h oe s t
høste  h oe s t ax
høve  h oeh v ax
høvel  h oe v ax l
høvelig  h oeh v ax l ih
høvelige  h oeh v ax l ih ax
høveligere  h oeh v ax l ih r ax
høveligst  h oeh v ax l ih k s t
høveligste  h oeh v ax l ih k s t ax
høy  h oe j
høyde  h oe j d ax
høydeformat  h oe ih d ax f uu m aa t
høydepunkt  h oe ih d ax p uh n k t
høylytt  h oe j l ue t
høyne  h oe j n ax
høyre  h oe j r ax
høyrehendt  h oe j r ax hh eh n t
høyskole  h oe j s k uu l ax
høyspenning  h oe ih s p ax n ih ng
høyst  h oe j s t
høytidelig  h oe j t iy d ax l ih
høytidelige  h oe j t iy d ax l ih ax
høytideligere  h oe j t iy d ax l ih r ax
høytideligst  h oe j t iy d ax l ih k s t
høytideligste  h oe j t iy d ax l ih k s t ax
høyttaler  h oe j t aa l ax r
Håkon  h oo k ao n
hålke  h ao l k ax
hånd  h ao n
håndball  h ao n b aa l
håndfast  h ao n f aa s t
håndgripelig  h ao ng r iy p ax l ih
håndgripelige  h ao ng r iy p ax l ih ax
håndgripeligere  h ao ng r iy p ax l ih r ax
håndgripeligst  h ao ng r iy p ax l ih k s t
håndgripeligste  h ao ng r iy p ax l ih k s t ax
håndheve  h ao n h ee v ax
håndhilse  h ao n h ih l s ax
håndkle  h ao ng k l ee
håndkrem  h ao n k r ae m
håndlaga  h ao n l aa g ax t
håndlaget  h ao n l aa g ax t
håndlist  h ao n l ih s t
håndtak  h ao n t aa k
håndtere  h ao n t ee r ax
håne  h oo n ax
hånflire  h oo n f l iy r ax
hånlig  h oo n l ih
hånlige  h oo n l ih ax
hånligere  h oo n l ih r ax
hånligst  h oo n l ih k s t
hånligste  h oo n l ih k s t ax
håp  h oo p
håpe  h oo p ax
håpefull  h oo p ax f uh l
håpløs  h oo p l oeh s
hår  h oo r
hårete  h oo r ax t ax
hårfin  h oo r f iy n
hårgele  h oo sz eh l ee
hårreisende  h oo r ay s ax n ax
håve  h oo v ax
i  ih
i blant  ih b l aa n t
i dag  ih d aa g
i det minste  ih d eh m ih n s t ax
i går  ih g oo r
i helgen  ih hh eh l g ax n
i kveld  ih k v eh l
i morgen kveld  ih m oo ng k v eh l
i morgen t idlig  ih m oo ng t iy d l ih
i overmorgen  ih oo v ax r m oo ax ng
i rett t id  ih r eh t t iy
i s lekt  ih sz l eh k t
i s t edet for  ih s t ee d ax f ao r
i s tykker  ih s t ue k ax r
i t illegg  ih t ih l eh g
iaktta  ih aa k t aa
iberegne  iy b ax r ay n ax
iblant  ih b l aa n t
idé  ih d ee
ideal  ih d ax aa l
idealisere  ih d ax aa l ih s ee r ax
idealistisk  ih d ax aa l ih s t ih s k
ideell  ih d ax eh l
identifisere  ih d ax n t ih f ih s ee r ax
identisk  ih d eh n t ih s k
ideologisk  ih d ax uh l oo g ih s k
idiomatisk  ih d ih uh m aa t ih s k
idiotisk  ih d ih uu t ih s k
idrettskvinne  iy d r eh t s k v ih n ax
idrettsmann  iy d r eh t s m aa n
idrettsplass  iy d r eh t s p l aa s
idyllisk  ih d ue l ih s k
ifølge  ih f oe l g ax
igjen  ih j eh n
igle  ih g l ax
ignorere  ih g n uh r ee r ax
iherdig  ih hh ae d ih
iherdige  ih hh ae d ih ax
iherdigere  ih hh ae d ih r ax
iherdigst  ih hh ae d ih k s t
iherdigste  ih hh ae d ih k s t ax
ikke  ih k ax
ikke-røykere  ih k ax r oeh k ax r ax
ild  ih l
ile  iy l ax
ilegge  iy l ay ax
ille  ih l ax
illegal  ih l ax g aa l
illojal  ih l uh j aa l
illustrere  ih l uh s t r ee r ax
ilter  ih l t ax r
imaginær  ih m aa g ih n ae r
imitere  ih m ih t ee r ax
immatrikulere  ih m aa t r ih k uh l ee r ax
immigrere  ih m ih g r ee r ax
immun  ih m uh n
imperativ  ih m p ae r aa t iy v
imperium  ih m p ee r ih uh m
implisere  ih m p l ih s ee r ax
imponere  ih m p uh n ee r ax
importere  ih m p ao t ee r ax
impregnere  ih m p r ax g n ee r ax
impresjonisme  ih m p r eh sz uh n ih s m ax
improvisere  ih m p r uh v ih s ee r ax
impulsiv  ih m p uh l s iy v
imøtegå  ih m oeh t ax g oo
imøtekomme  ih m oeh t ax k ao m ax
inderlig  ih n ax l ih
inderlige  ih n ax l ih ax
inderligere  ih n ax l ih r ax
inderligst  ih n ax l ih k s t
inderligste  ih n ax l ih k s t ax
indignert  ih n ih g n ee t
indikere  ih n ih k ee r ax
indirekte  ih n ih r eh k t ax
indisk  ih n ih s k
individuell  ih n ih v ih d uh eh l
indoktrinere  ih n ao k t r ih n ee r ax
indre  ih n d r ax
industriell  ih n uh s t r ih eh l
ineffektiv  ih n eh f ax k t iy v
infam  ih n f aa m
infeksjon  ih n f eh k sz uu n
inferno  ih n f ae ng u
infiltrere  ih n f ih l t r ee r ax
infisere  ih n f ih s ee r ax
informasjon  ih n f ao r m aa sz uu n
informativ  ih n f ao r m aa t iy v
informere  ih n f ao r m ee r ax
informere seg  ih n f ao m eh r ax s ay
informieren  ih n f ao r m iy r ax n
infusjon  ih n f uh sz uu n
ingen  ih ng ax n
ingen s t eder  ih ng ax n s t ee d ax r
ingeniør  ih n sz ax n j oeh r
ingenting  ih ng ax n t ih ng
inhabil  ih n h aa b iy l
inhalere  ih n h aa l ee r ax
initiere  ih n ih t s ih ee r ax
injisere  ih n j ih s ee r ax
inkludere  ih n k l uh d ee r ax
inkludert  ih n k l uh d eh t
inklusiv  ih n k l uh s iy v
inkompatibel  ih n k uh m p aa t iy b ax l
inkompetent  ih n k uh m p ax t eh n t
inkonsekvent  ih n k uh n s ax k v eh n t
innadvendt  ih n aa d v eh n t
innarbeide  ih n aa r b ay d ax
innbakt  ih n b aa k t
innbefatte  ih n b ax f aa t ax
innbille  ih n b ih l ax
innbilning  ih m b ih l n ih ng
innbilsk  ih n b ih l s k
innbitt  ih n b ih t
innbringende  ih n b r ih ng ax n ax
innby  ih n b ueh
innbydende  ih n b ueh d ax n ax
innbygger  ih n b ue g ax r
innbyrdes  ih n b ue d ax s
innbytter  ih m b ue t ax r
inne  ih n ax
innebære  ih n ax b ae r ax
inneha  ih n ax hh aa
inneholde  ih n ax hh ao l ax
innen  ih n ax n
innendørs  ih n ax n oeh sz
innenfor  ih n ax n f ao r
innenriks  ih n ax n r ih k s
innenriksfly  ih n ax n r ih k s f l ueh
innertak  ih n ax t aa k
inneslutta  ih n ax sz l uh t ax t
innesluttet  ih n ax sz l uh t ax t
inneværende  ih n ax v ae r ax n ax
innfinne  ih n f ih n ax
innflytelse  ih n f l ueh t ax l s ax
innflytelsesrik  ih n f l ueh t ax l s ax s r iy k
innfløkt  ih n f l oe k t
innfore  ih n f oeh r ax
innfri  ih n f r iy
innfødt  ih n f oe t
innføre  ih n f oeh r ax
innføring  ih m f oeh r ih ng
innførsel  ih m f oe sz ax l
inngang  ih ng aa ng
inngangsbillett  ih ng aa ng s b ih l eh t
inngangspenger  ih ng aa ng s p eh ng ax r
inngripen  ih ng g r iy p ax n
inngå  ih ng oo
inngående  ih ng oo ax n ax
innhegne  ih n h ay n ax
innhente  ih n h eh n t ax
innhold  ih n h ao l
innholdsløs  ih n h ao l s l oeh s
innholdsrik  ih n h ao l s r iy k
innkalle  ih n k aa l ax
innkassere  ih n k aa s ee r ax
innkjørsel  ih n xh oe sz ax l
innkvartere  ih n k v aa t ee r ax
innlate  ih n l aa t ax
innlede  ih n l ee d ax
innlegg  ih n l ay
innlemme  ih n l eh m ax
innlevelse  ih n l ee v ax l s ax
innlysende  ih n l ueh s ax n ax
innmari  ih n m aa r ih
innordne  ih n ao d n ax
innpakning  ih n p aa k n ih ng
innprente  ih n p r eh n t ax
innpåsliten  ih n p ao sz l iy t ax n
innrede  ih n r ee d ax
innreise  ih n r ay s ax
innrette  ih n r eh t ax
innrømme  ih n r oe m ax
innse  ih n s ee
innsjekking  ih n sz eh k ih ng
innsjø  ih n sz oeh
innskjerpe  ih n sz ae r p ax
innskrenke  ih n s k r eh n k ax
innskrift  ih n s k r ih f t
innsmigre  ih n s m ih g r ax
innstendig  ih n s t eh n ih
innstendige  ih n s t eh n ih ax
innstendigere  ih n s t eh n ih r ax
innstendigst  ih n s t eh n ih k s t
innstendigste  ih n s t eh n ih k s t ax
innstille  ih n s t ih l ax
innta  ih n t aa
inntil  ih n t ih l
inntrykk  ih n t r ue k
inntrykksfull  ih n t r ue k s f uh l t
innvende  ih n v eh n ax
innvendig  ih n v eh n ih
innvendige  ih n v eh n ih ax
innvendigere  ih n v eh n ih r ax
innvendigst  ih n v eh n ih k s t
innvendigste  ih n v eh n ih k s t ax
innvie  ih n v iy ax
innvikla  ih n v ih k l aa
innvilge  ih n v ih l g ax
innvirke  ih n v ih r k ax
innvortes  ih n v ao t ax s
innynde  ih n ue n ax
insekt  ih n s eh k t
insinuere  ih n s ih n uh ee r ax
insistere  ih n s ih s t ee r ax
insolvent  ih n s ao l v eh n t
inspirere  ih n s p ih r ee r ax
inspisere  ih n s p ih s ee r ax
installere  ih n s t aa l ee r ax
instinktiv  ih n s t ih ng t iy v
instruere  ih n s t r uh ee r ax
instruktiv  ih n s t r uh k t iy v
instrumental  ih n s t r uh m ax n t aa l
intakt  ih n t aa k t
integrere  ih n t ax g r ee r ax
intellektuell  ih n t ax l ax k t uh eh l
intelligent  ih n t ax l ih g eh n t
intens  ih n t eh n s
intensiv  ih n t ax n s iy v
intensivere  ih n t ax n s ih v ee r ax
interaktiv  ih n t ax r aa k t iy v
interessant  ih n t ax r ax s aa ng
interessere  ih n t ax r ax s ee r ax
interessere seg for  ih n t ax r eh s ee r ax s ay f ao r
interessieren  ih n t ax r eh s iy r ax n
interiør  ih n t ax r ih oeh r
intern  ih n t ae ng
internasjonal  ih n t ax ng aa sz uh n aa l
internasjonalisere  ih n t ax ng aa sz uh n aa l ih s ee r ax
interrail  ih n t ax r ay l
intervenere  ih n t ax r v ax n ee r ax
intervjue  ih n t ax r v j uh ax
intetsigende  ih n t ax t s iy g ax n ax
intim  ih n t iy m
intolerant  ih n t ao l ax r aa ng
intrikat  ih n t r ih k aa t
introdusere  ih n t r uh d uh s ee r ax
intuitiv  ih n t uh ih t iy v
invadere  ih n v aa d ee r ax
invalid  ih n v aa l iy d
investere  ih n v ax s t ee r ax
invitasjon  ih n v ih t aa sz uu n
invitere  ih n v ih t ee r ax
involvere  ih n v ao l v ee r ax
irakisk  ih r aa k ih s k
iransk  ih r aa n s k
ire  iy r ax
irettesette  ih r eh t ax s eh t ax
ironisk  ih r uu n ih s k
irrasjonell  ih r aa sz uh n ax l
irre  ih r ax
irrelevant  ih r ax l ax v aa n t
irritabel  ih r ih t aa b ax l
irritere  ih r ih t ee r ax
irsk  iy sz k
is  iy s
iscenesette  ih s ee n ax s eh t ax
iscenesettelse  ih s ee n ax s eh t eh l s ax
ishockey  iy s h ao k iy
iskald  iy s k aa l
iskrem  iy s k r ee m
islamsk  ih s l aa m s k
islandsk  iy s l aa n s k
isolere  ih s uh l ee r ax
israelsk  ih s r aa ee l s k
italiener  ih t aa l j ee n ax r
italiensk  ih t aa l j ee n s k
ivareta  ih v aa r ax t aa
iverksette  ih v ae r k s eh t ax
ivre  iy v r ax
ivrig  iy v r ih
ivrige  iy v r ih ax
ivrigere  iy v r ih r ax
ivrigst  iy v r ih k s t
ivrigste  iy v r ih k s t ax
iøynefallende  ih oe j n ax f aa l ax n ax
ja  j aa
jage  j aa g ax
jakke  j aa k ax
jakte  j aa k t ax
jamføre  j aa m f oeh r ax
jamre  j aa m r ax
januar  j aa n uh aa r
japansk  j aa p aa n s k
jarl  j aa l
jatte  j aa t ax
jazz  j aa s
jeg  j ay
jeger  j ee g ax r
jekke  j eh k ax
jenke  j eh ng k ax
jenta  j eh n t aa
jente  j eh n t ax
jernbanestasjon  j ae ng b aa n ax s t aa sz uu n
jevn  j eh v ax n
jevne  j eh v n ax
jevnføre  j aa m f oeh r ax
jevngammel  j eh v ng aa m ax l
jevngod  j eh v ng uu
jo  j uu
jobb  j ao b
jobbe  j ao b ax
jod  j ao d
jogg  j ao g
jogge  j ao g ax
joggesko  j ao g ax s k uu
joike  j ao j k ax
jord  j uu r
jordbær  j uh r b ae r
jorde  j uu r ax
jordisk  j uh d ih s k
jordnær  j uu ng ae r
jorte  j ao t ax
journalføre  sz uh ng aa l f oeh r ax
journalist  sz uh ng aa l ih s t
jovial  j uh v ih aa l
jubel  j uh b ax l
jubilere  j uh b ih l ee r ax
juble  j uh b l ax
jukse  j uh k s ax
jul  j uh l
julaften  j uh l aa f t ax n
julestjerne  j uh l ax s t j ae ng ax
juli  j uh l ih
jung  j ao ng
juni  j uh n ih
junior  j uh n ih uh r
juridisk  j uh r iy d ih s k
jurist  j uh r ih s t
justerbar  j uh s t ee r b aa r
justere  j uh s t ee r ax
juveler  j uh v ax l ee r
jævlig  j ae v l ih
jævlige  j ae v l ih ax
jævligere  j ae v l ih r ax
jævligst  j ae v l ih k s t
jævligste  j ae v l ih k s t ax
jødisk  j oeh d ih s k
jåle  j oo l ax
jålete  j oo l ax t ax
kabaret  k aa b aa r ee
kabaretscene  k aa b aa r ee s ee n ax
kafe  k aa f ee
kafé  k aa f ee
kaffe  k aa f ax
kaffepause  k aa f ax p aw s ax
kaffetrakter  k aa f ax t r aa k t ax r
kai  k ay
kajakk  k aa j aa k
kake  k aa k ax
kakle  k aa k l ax
kald  k aa l
kaldblodig  k aa l b l uu d ih
kaldblodige  k aa l b l uu d ih ax
kaldblodigere  k aa l b l uu d ih r ax
kaldblodigst  k aa l b l uu d ih k s t
kaldblodigste  k aa l b l uu d ih k s t ax
kaldsvette  k aa l s v eh t ax
kaldt  k aa l t
kaldt vann  k aa l t v aa n
kaliber  k aa l iy b r
kalibrere  k aa l ih b r ee r ax
kalk  k aa l k
kalkulere  k aa l k uh l ee r ax
kalle  k aa l ax
kalosje  k aa l ao sz ax
kalv  k aa l v
kalvbent  k aa l v b ee n t
kalve  k aa l v ax
kam  k aa m
kamel  k aa m ee l
kamerat  k aa m ax r aa t
kameratslig  k aa m ax r aa t sz l ih
kameratslige  k aa m ax r aa t sz l ih ax
kameratsligere  k aa m ax r aa t sz l ih r ax
kameratsligst  k aa m ax r aa t sz l ih k s t
kameratsligste  k aa m ax r aa t sz l ih k s t ax
kamfer  k aa m f ax r
kamillete  k aa m ih l ax t ee
kamme  k aa m ax
kammer  k aa m ax r
kamp  k aa m p
kamuflere  k aa m uh f l ee r ax
kanadisk  k aa n aa d ih s k
kanal  k aa n aa l
kanalisere  k aa n aa l ih s ee r ax
kanin  k aa n iy n
kano  k aa n u
kanon  k aa n ao n
kanonisk  k aa n uu n ih s k
kansellere  k aa n s ax l ee r ax
kanskje  k aa ng sz ax
kant  k aa n t
kantre  k aa n t r ax
kaotisk  k aa uu t ih s k
kapabel  k aa p aa b ax l
kapell  k aa p eh l
kapital  k aa p ih t aa l
kapitalistisk  k aa p ih t aa l ih s t ih s k
kapitulere  k aa p ih t uh l ee r ax
kappe  k aa p ax
kappes  k aa p ax s
kappkjøre  k aa p xh oeh r ax
kappløp  k aa p l oeh p
kapre  k aa p r ax
kapsel  k aa p s ax l
kaptein  k aa p t ay n
kaputt  k aa p uh t
kar  k aa r
karaffel  k aa r aa f ax l
karakterisere  k aa r aa k t ax r ih s ee r ax
karakteristisk  k aa r aa k t ax r ih s t ih s k
karikere  k aa r ih k ee r ax
karismatisk  k aa r ih s m aa t ih s k
karneval  k aa ng ax v aa l
karrig  k aa r ih
karrige  k aa r ih ax
karrigere  k aa r ih r ax
karrigst  k aa r ih k s t
karrigste  k aa r ih k s t ax
kart  k aa t
kartlegge  k aa t l ay ax
karve  k aa r v ax
kasse  k aa s ax
kassere  k aa s ee r ax
kasserer  k aa s ee r ax r
kassett  k aa s ax t
kassettspiller  k aa s eh t s p ih l ax r
kaste  k aa s t ax
kaster  k aa s t ax r
kastet  k aa s t ax t
kastrere  k aa s t r ee r ax
katalogisere  k aa t aa l ao g ih s ee r ax
katastrofal  k aa t aa s t r uh f aa l
katedral  k aa t ax d r aa l
kategorisk  k aa t ax g uu r ih s k
katolsk  k aa t uu l s k
katt  k aa t
katte  k aa t ax
kausjonere  k aw sz uh n ee r ax
kave  k aa v ax
keiser  k ay s ax r
keiserinne  xh ay s ax r ih n ax
keitet  xh ay t ax t
keitete  xh ay t ax t ax
keivhendt  xh ay v hh eh n t
kelner  k eh l n ax r
kennel  k eh n ax l
kennen  k ax n ax n
keramikk  xh eh r aa m ih k
kibbutz  k ih b uh t s
kidnappe  k ih d n aa p ax
kikert  xh iy k eh t
kikhoste  xh iy k h uh s t ax
kikke  xh ih k ax
kikke på  xh ih k ax p oo
kilde  xh ih l d ax
kile  xh iy l ax
kilen  xh iy l ax n
kilometer  xh ih l uh m ee t ax r
kime  xh iy m ax
kim ære  k ih m ae r ax
kinesisk  xh ih n ee s ih s k
kinkig  xh ih ng k ih
kinkige  xh ih ng k ih ax
kinkigere  xh ih ng k ih r ax
kinkigst  xh ih ng k ih k s t
kinkigste  xh ih ng k ih k s t ax
kinn  xh ih n
kinnskjegg  xh ih n sz ae g
kino  xh iy n u
kirke  xh ih r k ax
kirkegård  xh ih r k ax g oo r
kirketårn  xh ih r k ax t oo ng
kirsebær  xh ih sz ax b ae r
kirurg  xh ih r uh r g
kirurgisk  xh ih r uh r g ih s k
kiste  xh ih s t ax
kives  xh iy v ax s
kjake  xh aa k ax
kjapp  xh aa p
kjappe  xh aa p ax
kje  xh ee
kjede  xh ee d ax
kjedelig  xh ee d ax l ih
kjedelige  xh ee d ax l ih ax
kjedeligere  xh ee d ax l ih r ax
kjedeligst  xh ee d ax l ih k s t
kjedeligste  xh ee d ax l ih k s t ax
kjeft  xh eh f t
kjefte  xh eh f t ax
kjei  xh ay
kjekk  xh eh k
kjekke  xh eh k ax
kjekle  xh eh k l ax
kjeks  xh eh k s
kjelke  xh eh l k ax
kjeller  xh eh l ax r
kjemiker  xh ee m ih k ax r
kjemme  xh eh m ax
kjempe  xh eh m p ax
kjendis  xh eh n ih s
kjenne  xh eh n ax
kjennemerke  xh eh n ax m ae r k ax
kjennetegne  xh eh n ax t ay n ax
kjent  xh eh n t
kjerne  xh ae ng ax
kjernemelk  xh ae ng ax m eh l k
kjernemjølk  xh ae ng ax m j oe l k
kjernesunn  xh ae ng ax s uh n
kjeve  xh ee v ax
kjevle  xh eh v l ax
kjip  xh iy p
kjole  xh uu l ax
kjæle  xh ae l ax
kjælenavn  xh ae l ax n aa v ax n
kjær  xh ae
kjære  xh ae r ax
kjæreste  xh ae r ax s t ax
kjærkommen  xh ae r k ao m ax n
kjærlig  xh ae l ih
kjærlige  xh ae l ih ax
kjærligere  xh ae l ih r ax
kjærlighet  xh ae l ih hh ee t
kjærligst  xh ae l ih k s t
kjærligste  xh ae l ih k s t ax
kjødelig  xh oeh d ax l ih
kjødelige  xh oeh d ax l ih ax
kjødeligere  xh oeh d ax l ih r ax
kjødeligst  xh oeh d ax l ih k s t
kjødeligste  xh oeh d ax l ih k s t ax
kjøkken  xh oe k ax n
kjøkkenkrok  xh oe k ax n k r uu k
kjøle  xh oeh l ax
kjøleelement  xh oeh l ax eh l eh m eh n t
kjøler  xh oeh l ax r
kjøleskap  xh oeh l ax s k aa p
kjølig  xh oeh l ih
kjølige  xh oeh l ih ax
kjøligere  xh oeh l ih r ax
kjøligst  xh oeh l ih k s t
kjøligste  xh oeh l ih k s t ax
kjønnsmoden  xh oe n s m uu d ax n
kjøpe  xh oeh p ax
kjøpmann  xh oeh p m aa n
kjøpslå  xh oeh p sz l oo
kjøre  xh oeh r ax
kjøre forbi  xh oeh r ax f ao r b iy
kjører  xh oeh r ax r
kjørsel  xh oe sz ax l
kjøtt  xh oe t
kjøttdeig  xh oe t d ay
kladde  k l aa d ax
klaffe  k l aa f ax
klage  k l aa g ax
klam  k l aa m
klamme  k l aa m ax
klamre  k l aa m r ax
klandre  k l aa n d r ax
klappe  k l aa p ax
klapper  k l aa p ax r
klapre  k l aa p r ax
klar  k l aa r
klare  k l aa r ax
